STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,AGE,Age,SEX,Sex,EDUCATION_LEV,Education level,DOMAIN,Domain,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,CHL,Chile,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2023,,72.13,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,COL,Colombia,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2019,,71.401,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,COL,Colombia,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2020,,63.133,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,COL,Colombia,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2021,,66.015,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,COL,Colombia,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2022,,69.93,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,COL,Colombia,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2023,,71.243,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,CRI,Costa Rica,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2019,,71.059,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,CRI,Costa Rica,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2020,,63.41,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,CRI,Costa Rica,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2021,,66.129,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,CRI,Costa Rica,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2022,,69.056,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,CRI,Costa Rica,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2023,,67.228,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,CZE,Czechia,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2019,,82.835,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,CZE,Czechia,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2020,,82.472,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,CZE,Czechia,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2021,,82.701,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,CZE,Czechia,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2022,,84.156,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,CZE,Czechia,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2023,,84.788,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,DNK,Denmark,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2019,,80.068,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,DNK,Denmark,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2020,,79.513,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,DNK,Denmark,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2021,,80.741,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,DNK,Denmark,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2022,,81.999,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,DNK,Denmark,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2023,,81.459,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,EST,Estonia,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2019,,81.287,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,EST,Estonia,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2020,,80.71,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,EST,Estonia,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2021,,81.002,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,EST,Estonia,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2022,,83.453,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,EST,Estonia,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2023,,83.592,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,FIN,Finland,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2019,,78.935,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,FIN,Finland,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2020,,78.557,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,FIN,Finland,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2021,,78.72,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,FIN,Finland,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2022,,80.184,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,FIN,Finland,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2023,,79.989,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,FRA,France,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2019,,73.853,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,FRA,France,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2020,,73.915,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,FRA,France,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2021,,75.389,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,FRA,France,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2022,,76.045,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,FRA,France,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2023,,76.38,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,DEU,Germany,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2019,,81.953,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,DEU,Germany,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2020,,80.505,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,DEU,Germany,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2021,,80.628,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,DEU,Germany,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2022,,81.796,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,DEU,Germany,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2023,,82.323,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,GRC,Greece,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2019,,64.101,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,GRC,Greece,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2020,,64.043,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,GRC,Greece,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2021,,65.389,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,GRC,Greece,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2022,,69.07,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,GRC,Greece,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2023,,70.04,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,HUN,Hungary,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2019,,80.398,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,HUN,Hungary,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2020,,80.237,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,HUN,Hungary,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2021,,81.651,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,HUN,Hungary,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2022,,83.218,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,HUN,Hungary,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2023,,83.794,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,ISL,Iceland,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2019,,84.272,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,ISL,Iceland,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2020,,81.301,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,ISL,Iceland,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2021,,82.75,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,ISL,Iceland,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2022,,85.808,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,ISL,Iceland,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2023,,86.233,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,IRL,Ireland,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2019,,76.686,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,IRL,Ireland,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2020,,75.671,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,IRL,Ireland,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2021,,76.915,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,IRL,Ireland,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2022,,80.262,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,IRL,Ireland,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2023,,81.05,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,ISR,Israel,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2019,,77.695,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),Current well-being,I,ISR,Israel,2_1,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,_T,Total,_T,Total,_T,Total,HSL_2,Work and job quality,2020,,76.175,,A,Normal value,0,Units,2,Two,,
